gen,nevals,avg,stddev,min,max,mutation,time
0,50,0.2183692722588085,0.0,0.2183692722588085,0.2183692722588085,0.05,111.43902540206909
1,47,0.07865731766621294,0.13247863649334837,-0.016000082878347748,0.5145370512091344,0.05,111.43902540206909
2,49,0.10012078105422584,0.11334878659894702,-0.016666665750122694,0.3565165905973955,0.05,111.43902540206909
3,48,0.1423241160347638,0.13601788074104335,-0.01999999999999945,0.5145370512091344,0.05,111.43902540206909
4,46,0.16556757734907707,0.15214829231989588,-0.01600000165220717,0.5829507088928488,0.05,111.43902540206909
5,46,0.2112173922156491,0.154181732048649,-0.016666689187931648,0.5829507088928488,0.05,111.43902540206909
6,45,0.24112178692736805,0.15586195041464296,-0.017142890480125003,0.5155027383528427,0.05,111.43902540206909
7,43,0.24957845134221493,0.20728134358416603,-0.016666727896770844,0.7023488712786907,0.05,111.43902540206909
8,44,0.27859041355954495,0.21873445503447395,-0.01714287778816895,0.7026746193240886,0.05,111.43902540206909
9,46,0.3055159988999206,0.18169070163320455,-0.01714290524404576,0.6460622474378461,0.05,111.43902540206909
10,48,0.33646278964606025,0.2006842114606019,-0.016666765392457778,0.648537006358381,0.05,111.43902540206909
11,43,0.4153165684213233,0.18612068954820746,-0.009999999999999724,0.8214637381470399,0.05,111.43902540206909
12,45,0.40896129984656093,0.2225709421194327,-0.019999996077786575,0.8214637381470399,0.05,111.43902540206909
13,48,0.4229163035357504,0.23592054822683017,-0.015000081235341557,0.8448083375854323,0.05,111.43902540206909
14,44,0.4250764662269279,0.23248456527818426,-0.017500069840226628,0.8448083375854323,0.05,111.43902540206909
15,47,0.3792443893562771,0.22967183381314607,-0.017142843953715573,0.8448083375854323,0.05,111.43902540206909
16,45,0.3578040901657774,0.24832059977889195,-0.013333654907337664,0.8448083375854323,0.05,111.43902540206909
17,49,0.4248856148098343,0.22412073145391678,-0.016000006056972802,0.8422724177635479,0.05,111.43902540206909
18,43,0.48095368425054646,0.25525248729045974,-0.016666662910544805,0.8676820885605874,0.05,111.43902540206909
19,43,0.45117238722358755,0.29276092539403936,0.0738399662996769,0.9377857505744541,0.05,111.43902540206909
20,45,0.3940874678413063,0.26684673811494924,-0.016666665885587528,0.8690251801633383,0.05,111.43902540206909
21,44,0.3975058025996129,0.2662938673850679,-0.017142828391522306,0.8690251801633383,0.05,111.43902540206909
22,47,0.45531424996126996,0.22729199487238902,0.12628666842411673,0.8411832269998835,0.05,111.43902540206909
23,45,0.43488205536292973,0.2150577601319403,0.08080018021763719,0.8003984289073336,0.05,111.43902540206909
24,47,0.516062148048,0.2405094908893778,-0.01665832669200897,0.9034823068318905,0.05,111.43902540206909
25,45,0.4166520517332387,0.2353664402747009,-0.017777776484466757,0.8720599147677862,0.05,111.43902540206909
26,47,0.4362298780588904,0.22348112531925843,-0.0175000017957486,0.8011477002978661,0.05,111.43902540206909
27,40,0.48272639346746027,0.21559013273989902,0.08841355546805042,0.8011477002978661,0.05,111.43902540206909
28,48,0.46435259512354526,0.2262237311447405,0.1385646048837131,0.8668523021231913,0.05,111.43902540206909
29,45,0.4720571879465824,0.21733267798136385,0.11001857056200336,0.8628631976672175,0.05,111.43902540206909
30,47,0.4514600494699967,0.22417908900698466,0.12698479429528642,0.8699080992635608,0.05,111.43902540206909
31,47,0.48698504130624376,0.24435181005531384,-0.01666658608673279,0.8606739420898841,0.05,111.43902540206909
32,46,0.48121178355729993,0.2305157458273156,0.06644842426478542,0.868561503846554,0.05,111.43902540206909
33,46,0.44180933945589496,0.22438782253762463,0.04646040411807305,0.8658026414058247,0.05,111.43902540206909
34,47,0.4382473369503853,0.22239958541883223,0.07505263171449465,0.8658026414058247,0.05,111.43902540206909
35,43,0.47598729792211686,0.23069006163130654,-0.015000076694819137,0.8019856407610146,0.05,111.43902540206909
36,46,0.5432575304092387,0.22822737444832567,0.12357458129836377,0.8701199813447698,0.05,111.43902540206909
37,43,0.4960291802012587,0.23766685841046467,-0.005068088757261474,0.857950411872852,0.05,111.43902540206909
38,45,0.5243798801094799,0.24001969413380989,-0.016000014508732185,0.9434812238987328,0.05,111.43902540206909
39,46,0.5281552495870557,0.2500745414199163,0.06852119351404064,0.9434812238987328,0.05,111.43902540206909
40,43,0.5352313566471978,0.2461645993831143,-0.017142844928077276,0.9434812238987328,0.05,111.43902540206909
41,47,0.48207688907990387,0.24147036359730745,0.06450974760336736,0.9434812238987328,0.05,111.43902540206909
42,48,0.4366199953170119,0.2365346870615828,-0.013333354856781101,0.9143398365154779,0.05,111.43902540206909
43,45,0.4980006166599592,0.251210295562489,-0.01598923383635953,0.9143398365154779,0.05,111.43902540206909
