gen,nevals,avg,stddev,min,max,method,format,time
0,50,-0.009999999999999724,0.0,-0.009999999999999724,-0.009999999999999724,0,1,1564.2747914791107
1,49,-0.010399999999808254,0.001083205120099626,-0.013333333331737479,-0.009999999999999724,0,1,1564.2747914791107
2,48,-0.01066666847043588,0.0013333369408865183,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
3,44,-0.010666666668123239,0.0013333333362470325,-0.01333333342621272,-0.009999999999999724,0,1,1564.2747914791107
4,45,-0.010533334284596622,0.0012220223649472535,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
5,48,-0.01046666731018147,0.001156625033138212,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
6,44,-0.010866663164833014,0.001462108239190045,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
7,44,-0.01079999923909263,0.0014236090795884347,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
8,49,-0.010533334542650699,0.0012220229571098804,-0.013333571618152636,-0.009999999999999724,0,1,1564.2747914791107
9,44,-0.010466667635995006,0.0011566258406606113,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
10,45,-0.010799996461009216,0.0014236041370569766,-0.013333578114831513,-0.009999999999999724,0,1,1564.2747914791107
11,45,-0.010733332072378228,0.0013808186380741673,-0.013333495007228581,-0.009999999999999724,0,1,1564.2747914791107
12,45,-0.010600000410813099,0.0012806257243296202,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
13,45,-0.010533333728670607,0.0012220210911552945,-0.013333348710330248,-0.009999999999999724,0,1,1564.2747914791107
14,46,-0.01079998974691293,0.0014235921891140352,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
15,45,-0.010466681416040185,0.001156659995949333,-0.013333707137391716,-0.009999999999999724,0,1,1564.2747914791107
16,47,-0.01060000621626218,0.0012806381157102944,-0.01333357537763105,-0.009999999999999724,0,1,1564.2747914791107
17,42,-0.01066666212567237,0.0013333242516931792,-0.0133333333484908,-0.009999999999999724,0,1,1564.2747914791107
18,47,-0.011066666815001786,0.001554920721538617,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
19,46,-0.010399999999453922,0.0010832051191400898,-0.013333333335673245,-0.009999999999999724,0,1,1564.2747914791107
20,47,-0.010566666974742935,0.0013169837326250282,-0.015000000042894623,-0.009999999999999724,0,1,1564.2747914791107
21,49,-0.010599993499066944,0.0012806109731070645,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
